State/UT,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 15,SDG 16,MDS Col 1,MDS Col 2
Andhra Pradesh,67,50,66,77,44,59,76,81,31,75,26,87,90,0.6935011990407675 , 0.9135011990407673
Arunachal Pradesh,52,58,38,44,32,64,44,72,16,47,44,73,77,0.4092086330935252 , 0.3392086330935252 
Assam,53,53,30,54,36,42,18,61,35,75,32,100,53,0.48402078337330123 , 0.5040207833733013
Bihar,45,39,40,36,24,31,67,56,38,82,43,56,60,0.3140367705835332 , 0.4240367705835333 
Chhattisgarh,50,46,42,53,49,98,36,56,30,73,54,100,65,0.4819504396482814 , 0.7019504396482814
Goa,62,80,65,71,35,65,61,90,0,50,71,100,87,0.4698960831334932 , 0.6098960831334932
Gujarat,48,49,52,67,31,100,67,80,65,79,52,71,73, 0.48749800159872103 , 0.6374980015987208
Haryana,50,53,57,65,31,80,50,72,50,55,30,43,78,0.41157474020783363 , 0.32157474020783366
Himachal Pradesh,60,58,62,82,42,95,62,71,43,98,41,93,91,0.6486570743405274 , 0.8086570743405277
Jharkhand,37,35,40,58,32,51,20,52,47,72,52,96,64,0.4452118305355716 , 0.5852118305355716
Karnataka,52,54,69,76,43,62,77,72,57,68,36,88,74,0.7227018385291767 , 0.5027018385291767
Kerala,66,72,92,87,50,62,60,61,68,72,46,75,82, 0.544660271782574 , 0.6946602717825741
Madhya Pradesh,44,41,38,49,33,63,58,57,27,75,39,91,59,0.3896003197442046 , 0.3396003197442047
Maharashtra,47,47,60,74,43,81,69,74,53,76,34,86,82,0.7211031175059952 , 0.6611031175059954
Manipur,44,74,67,65,25,44,39,33,72,98,31,100,70,0.4999440447641887 , 0.5299440447641888
Meghalaya,66,43,52,38,38,40,11,62,42,100,39,94,53,0.6227977617905676 , 0.5227977617905676
Mizoram,71,69,53,54,43,67,78,65,0,100,32,69,71,0.46793764988009584 , 0.7979376498800959
Nagaland,59,69,34,45,42,58,45,40,0,80,32,75,87,0.5132054356514788 , 0.6132054356514788
Odisha,59,46,54,46,43,46,23,53,32,78,34,100,55,0.425603517186251 , 0.565603517186251
Punjab,56,71,71,63,43,60,61,57,48,62,36,67,84,0.44353317346123095 , 0.453533173461231
Rajasthan,59,45,49,73,37,43,63,57,62,79,45,68,81,0.559144684252598 , 0.5091446842525978
Sikkim,64,67,52,47,50,78,47,57,1,67,56,98,66,0.6303517186251 , 0.3503517186250999
Tamil Nadu,76,61,77,75,38,66,89,71,46,85,33,74,61,0.761886490807354 , 0.6218864908073543
Telangana,52,53,73,66,43,55,63,75,16,100,44,83,66,0.5515267785771384 , 0.8415267785771382
Tripura,71,58,53,56,38,38,32,52,38,89,38,86,71,0.7163709032773782 , 0.576370903277378
Uttar Pradesh,46,43,25,53,27,55,23,55,29,38,37,55,61,0.22808153477218224 , 0.3480815347721823
Uttarakhand,65,53,36,66,41,78,55,67,33,62,41,100,80,0.5019344524380496 , 0.6819344524380497
West Bengal,57,50,66,51,40,54,40,63,45,76,25,88,72,0.5019664268585131 , 0.3219664268585132
Andaman and Nicobar Islands,57,36,60,69,58,71,56,60,0,89,64,84,72,0.5111350919264589 , 0.47113509192645886
Chandigarh,39,70,23,85,51,100,96,82,76,52,40,83,90,0.4898641087130296 , 0.7398641087130295
Dadra and Nagar Haveli ,21,40,32,77,41,100,73,84,0,100,6,100,63,0.6599600319744204 , 0.4699600319744205
Daman and Diu,58,42,47,46,38,99,84,91,0,100,49,84,79,0.6639088729016787 , 0.6139088729016786
Delhi,30,72,47,58,37,62,51,88,100,80,39,77,68,0.7275139888089529 , 0.48751398880895286
Lakshadweep,43,47,64,62,35,100,60,60,0,100,0,100,74,0.4363549160671462 , 0.5963549160671463
Puducherry,61,71,66,69,27,45,61,85,100,94,27,50,92,0.5186890487609912 , 0.5086890487609912
