State/UT,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 15,SDG 16,MDS Col 1,MDS Col 2,Neighbors
Andhra Pradesh,81,52,77,50,58,92,100,67,52,74,78,84,63,69,77,0.7453125,0.4353124999999999,karnataka tamilnadu maharashtra chhattisgarh Odisha
Arunachal Pradesh,54,66,64,41,37,67,85,50,31,69,39,77,58,93,64,0.31609375,0.55609375,assam nagaland
Assam,51,41,59,43,25,64,98,50,39,65,55,66,53,78,62,0.3678125000000001,0.6978125000000002,ArunachalPradesh nagaland Manipur Mizoram Meghalaya Tripura
Bihar,32,31,66,29,48,91,78,50,24,48,67,59,16,62,73,0.08906832298136644,0.18906832298136636,WestBengal Jharkhand UttarPradesh 
Chhattisgarh,49,37,60,55,64,89,78,64,36,72,78,64,38,65,71,0.34640624999999997,0.6464062500000001,orissa Jharkhand UttarPradesh MadhyaPradesh maharashtra Andhrapradesh
Goa,83,78,72,71,55,100,100,76,68,75,89,47,44,59,63,0.5999999999999999,0.7299999999999998,maharashtra karnataka
Gujarat,66,46,86,52,49,93,94,64,72,64,87,50,67,61,82,0.5409375000000001, 0.45093749999999994,Rajasthan MadhyaPradesh maharashtra 
Haryana,69,58,72,64,43,80,100,59,66,68,81,77,51,48,71,0.6790625, 0.7590625000000001,Punjab Rajasthan UttarPradesh HimachalPradesh Uttarakhand
Himachal Pradesh,80,52,78,74,62,85,100,78,61,78,79,77,62,68,73,0.76265625, 0.56265625,JammuandKashmir Haryana Uttarakhand 
Jharkhand,36,19,74,45,51,83,77,54,37,65,71,55,25,71,70,0.27539781591263657, 0.4753978159126365,Bihar WestBengal chattisgarh Odisha
Karnataka,68,53,78,64,57,85,100,66,64,67,78,89,62,67,76,0.7353125000000001, 0.5553124999999997,maharashtra Andhrapradesh tamilnadu Kerala
Kerala,83,80,72,80,63,89,100,62,60,69,75,65,69,77,80,0.5967187500000002, 0.58671875,karnataka tamilnadu
Madhya Pradesh,44,43,62,45,55,88,86,60,37,51,81,78,49,84,66,0.56421875, 0.44421875000000005,Rajasthan UttarPradesh chhattisgarh maharashtra Gujarat
Maharashtra,66,44,83,64,51,90,100,62,66,71,87,82,58,52,69,0.6010937500000001, 0.7910937499999998,Gujarat MadhyaPradesh karnataka Andhrapradesh chhattisgarh
Manipur,60,64,68,63,41,87,96,36,35,70,65,89,57,60,69,0.42000000000000004, 0.91,nagaland assam Mizoram
Meghalaya,77,37,70,48,51,75,50,63,25,88,51,73,62,64,72,0.4046875, 0.2646875,assam Tripura
Mizoram,80,72,79,60,54,85,100,51,32,64,61,87,66,48,81,0.3100000000000001,0.6799999999999997,Tripura assam Manipur
Nagaland,73,64,61,39,48,87,69,48,30,46,48,91,69,63,79,0.4925000000000001, 0.6025000000000001,assam ArunachalPradesh Manipur
Odisha,41,42,67,45,46,86,80,48,46,66,70,73,70,83,59,0.56796875, 0.4579687499999999,Jharkhand WestBengal chhattisgarh ArunachalPradesh
Punjab,69,73,77,60,45,66,100,57,69,68,91,71,51,48,76,0.4707812500000002, 0.55078125,HimachalPradesh Haryana Rajasthan
Rajasthan,63,53,70,60,39,54,100,57,45,45,81,74,49,43,73,0.3346875, 0.46468749999999986,Punjab Haryana UttarPradesh MadhyaPradesh Gujarat
Sikkim,80,69,62,58,58,89,100,71,52,61,85,76,65,73,72,0.0921875, 0.5421874999999999,WestBengal
Tamil Nadu,86,66,81,69,59,87,100,71,71,74,79,78,61,63,71,0.6796874999999999, 0.9196875,karnataka Andhrapradesh Kerala
Telangana,68,50,67,63,41,96,100,73,59,67,76,73,43,81,71,0.45703125000000006, 0.70703125,Andhrapradesh karnataka maharashtra
Tripura,82,52,67,42,39,82,83,57,35,85,67,99,41,69,80, 0.5464062500000001, 0.61640625,Mizoram assam
Uttar Pradesh,44,41,60,51,50,83,100,53,42,41,77,79,39,61,79,0.57, 0.5199999999999998,Bihar MadhyaPradesh Haryana Uttarakhand
Uttarakhand,74,61,77,70,46,85,100,63,56,77,76,82,60,64,86,0.45765625000000015, 0.56765625,HimachalPradesh UttarPradesh
West Bengal,59,46,76,54,41,81,98,57,53,71,45,79,39,53,81,0.56734375, 0.46734375000000006,assam Bihar Jharkhand Odisha
Andaman and Nicobar Islands,71,45,68,57,68,87,100,59,23,67,85,73,77,72,46,0.59203125, 0.8520312500000002
Chandigarh,75,97,74,79,58,99,100,70,45,100,98,78,61,85,73,0.8729687499999997, 1,Punjab Haryana
Dadra and Nagar Haveli and Daman and Diu,65,27,80,56,53,95,71,57,47,66,89,62,18,62,75, 0.2710280373831776, 0.3710280373831776,Gujarat maharashtra
Delhi,81,63,90,75,33,61,100,65,66,72,65,50,55,81,62, 0.4292187500000001, 0.5392187500000001,Haryana Punjab 
Jammu and Kashmir,69,71,70,49,46,88,100,47,42,65,57,95,63,52,74,0.38343750000000004, 0.8934375,HimachalPradesh Punjab
Ladakh ,79,71,70,49,46,84,100,59,48,65,57,95,66,27,74, 0.6450000000000001, 0.335,JammuandKashmir
Lakshadweep,61,74,78,62,58,100,83,62,40,75,56,63,68,67,77,0.8431249999999999, 0.4831250000000002 
Puducherry,75,59,70,70,66,91,98,68,59,62,76,66,23,50,86,0.83921875, 0.6292187499999999,tamilnadu
India,60,47,74,57,48,83,92,61,55,67,79,74,54,66,74,0.5538726216,0.3022442429
